report,title,statement,item,n,v1,v2,v3,v4,line
2024年报,星宇股份2024年年度报告全文,BS,减：库存股,2,157860603.70,220030803.70,,,"减：库存股 七、56 157,860,603.70 220,030,803.70"
2024年报,星宇股份2024年年度报告全文,BS,其他综合收益,2,44889848.24,55344280.51,,,"其他综合收益 七、57 44,889,848.24 55,344,280.51"
2024年报,星宇股份2024年年度报告全文,BS,盈余公积,2,179346065.82,179346065.82,,,"盈余公积 七、59 179,346,065.82 179,346,065.82"
2024年报,星宇股份2024年年度报告全文,BS,未分配利润,2,5670574665.36,4659569711.50,,,"未分配利润 七、60 5,670,574,665.36 4,659,569,711.50"
2024年报,星宇股份2024年年度报告全文,BS,归属于母公司所有者权益（或股东权益）合计,2,10177262698.24,9136201966.76,,,"10,177,262,698.24 9,136,201,966.76"
2024年报,星宇股份2024年年度报告全文,BS,所有者权益（或股东权益）合计,2,10177262698.24,9136201966.76,,,"所有者权益（或股东权益）合计 10,177,262,698.24 9,136,201,966.76"
2024年报,星宇股份2024年年度报告全文,BS,负债和所有者权益（或股东权益）总计,2,16944066492.20,14774416257.21,,,"16,944,066,492.20 14,774,416,257.21"
2024年报,星宇股份2024年年度报告全文,IS,营业总收入,2,13252933664.95,10248445761.42,,,"一、营业总收入 13,252,933,664.95 10,248,445,761.42"
2024年报,星宇股份2024年年度报告全文,IS,其中：营业收入,2,13252933664.95,10248445761.42,,,"其中：营业收入 七、61 13,252,933,664.95 10,248,445,761.42"
2024年报,星宇股份2024年年度报告全文,IS,营业总成本,2,11786605064.44,9111351406.26,,,"二、营业总成本 11,786,605,064.44 9,111,351,406.26"
2024年报,星宇股份2024年年度报告全文,IS,其中：营业成本,2,10697270184.74,8139044797.32,,,"其中：营业成本 七、61 10,697,270,184.74 8,139,044,797.32"
2024年报,星宇股份2024年年度报告全文,IS,税金及附加,2,63289327.26,55966708.02,,,"税金及附加 七、62 63,289,327.26 55,966,708.02"
2024年报,星宇股份2024年年度报告全文,IS,销售费用,2,55787222.14,46828410.53,,,"销售费用 七、63 55,787,222.14 46,828,410.53"
2024年报,星宇股份2024年年度报告全文,IS,管理费用,2,303653757.41,271401447.09,,,"管理费用 七、64 303,653,757.41 271,401,447.09"
2024年报,星宇股份2024年年度报告全文,IS,研发费用,2,655492684.95,610244504.51,,,"研发费用 七、65 655,492,684.95 610,244,504.51"
2024年报,星宇股份2024年年度报告全文,IS,财务费用,2,11111887.94,-12134461.21,,,"财务费用 七、66 11,111,887.94 -12,134,461.21"
2024年报,星宇股份2024年年度报告全文,IS,其中：利息费用,2,6409774.12,1098755.22,,,"其中：利息费用 6,409,774.12 1,098,755.22"
2024年报,星宇股份2024年年度报告全文,IS,利息收入,2,14290253.72,17932647.65,,,"利息收入 14,290,253.72 17,932,647.65"
2024年报,星宇股份2024年年度报告全文,IS,加：其他收益,2,175570801.29,118635342.03,,,"加：其他收益 175,570,801.29 118,635,342.03"
2024年报,星宇股份2024年年度报告全文,IS,投资收益（损失以“－”号填列）,2,773457.44,-254758.37,,,"投资收益（损失以“－”号填列） 七、68 773,457.44 -254,758.37"
2024年报,星宇股份2024年年度报告全文,IS,公允价值变动收益（损失以“－”号填列）,2,46428147.44,56388485.28,,,"七、70 46,428,147.44 56,388,485.28"
2024年报,星宇股份2024年年度报告全文,IS,信用减值损失（损失以“-”号填列）,2,-56957382.01,-98501195.50,,,"信用减值损失（损失以“-”号填列） 七、71 -56,957,382.01 -98,501,195.50"
2024年报,星宇股份2024年年度报告全文,IS,资产减值损失（损失以“-”号填列）,2,-26330973.58,-13067194.12,,,"资产减值损失（损失以“-”号填列） 七、72 -26,330,973.58 -13,067,194.12"
2024年报,星宇股份2024年年度报告全文,IS,资产处置收益（损失以“－”号填列）,2,-11705340.89,-888747.13,,,"资产处置收益（损失以“－”号填列） 七、73 -11,705,340.89 -888,747.13"
2024年报,星宇股份2024年年度报告全文,IS,营业利润（亏损以“－”号填列）,2,1594107310.20,1199406287.35,,,"三、营业利润（亏损以“－”号填列） 1,594,107,310.20 1,199,406,287.35"
2024年报,星宇股份2024年年度报告全文,IS,加：营业外收入,2,6896990.07,9420184.22,,,"加：营业外收入 七、74 6,896,990.07 9,420,184.22"
2024年报,星宇股份2024年年度报告全文,IS,减：营业外支出,2,8578534.66,5736161.00,,,"减：营业外支出 七、75 8,578,534.66 5,736,161.00"
2024年报,星宇股份2024年年度报告全文,IS,利润总额（亏损总额以“－”号填列）,2,1592425765.61,1203090310.57,,,"四、利润总额（亏损总额以“－”号填列） 1,592,425,765.61 1,203,090,310.57"
2024年报,星宇股份2024年年度报告全文,IS,减：所得税费用,2,184145270.15,100960619.38,,,"减：所得税费用 七、76 184,145,270.15 100,960,619.38"
2024年报,星宇股份2024年年度报告全文,IS,净利润（净亏损以“－”号填列）,2,1408280495.46,1102129691.19,,,"五、净利润（净亏损以“－”号填列） 1,408,280,495.46 1,102,129,691.19"
2024年报,星宇股份2024年年度报告全文,IS,持续经营净利润（净亏损以“－”号填列）,2,1408280495.46,1102129691.19,,,"1,408,280,495.46 1,102,129,691.19"
