report,title,statement,item,n,v1,v2,v3,v4,line
2016年报,2016年年度报告,IS,资产减值损失,2,"11,984,591.33","1,345,734.01",,,"资产减值损失 七、66 11,984,591.33 1,345,734.01"
2016年报,2016年年度报告,IS,投资收益（损失以“－”号填列）,2,"45,855,089.13","41,489,974.54",,,"投资收益（损失以“－”号填列） 七、68 45,855,089.13 41,489,974.54"
2016年报,2016年年度报告,IS,营业利润（亏损以“－”号填列）,2,"381,557,216.29","321,170,707.44",,,"三、营业利润（亏损以“－”号填列） 381,557,216.29 321,170,707.44"
2016年报,2016年年度报告,IS,加：营业外收入,2,"20,442,168.11","20,695,257.31",,,"加：营业外收入 七、69 20,442,168.11 20,695,257.31"
2016年报,2016年年度报告,IS,其中：非流动资产处置利得,2,"2,223,973.31","122,793.48",,,"其中：非流动资产处置利得 2,223,973.31 122,793.48"
2016年报,2016年年度报告,IS,减：营业外支出,2,"2,959,416.05","3,206,397.07",,,"减：营业外支出 七、70 2,959,416.05 3,206,397.07"
2016年报,2016年年度报告,IS,其中：非流动资产处置损失,2,"1,480,168.06","1,229,234.41",,,"其中：非流动资产处置损失 1,480,168.06 1,229,234.41"
2016年报,2016年年度报告,IS,利润总额（亏损总额以“－”号填列）,2,"399,039,968.35","338,659,567.68",,,"四、利润总额（亏损总额以“－”号填列） 399,039,968.35 338,659,567.68"
2016年报,2016年年度报告,IS,减：所得税费用,2,"49,684,468.94","44,909,076.03",,,"减：所得税费用 七、71 49,684,468.94 44,909,076.03"
2016年报,2016年年度报告,IS,净利润（净亏损以“－”号填列）,2,"349,355,499.41","293,750,491.65",,,"五、净利润（净亏损以“－”号填列） 349,355,499.41 293,750,491.65"
2016年报,2016年年度报告,IS,归属于母公司所有者的净利润,2,"349,904,081.79","293,484,635.16",,,"归属于母公司所有者的净利润 349,904,081.79 293,484,635.16"
2016年报,2016年年度报告,IS,少数股东损益,2,"-548,582.38","265,856.49",,,"少数股东损益 -548,582.38 265,856.49"
2016年报,2016年年度报告,IS,其他综合收益的税后净额,2,"-1,522,003.15","1,528,585.35",,,"六、其他综合收益的税后净额 -1,522,003.15 1,528,585.35"
2016年报,2016年年度报告,IS,后净额,2,"-1,282,019.95","1,283,530.95",,,"后净额 -1,282,019.95 1,283,530.95"
2016年报,2016年年度报告,IS,收益,2,"-1,282,019.95","1,283,530.95",,,"收益 -1,282,019.95 1,283,530.95"
2016年报,2016年年度报告,IS,外币财务报表折算差额,2,"-1,282,019.95","1,283,530.95",,,"5.外币财务报表折算差额 -1,282,019.95 1,283,530.95"
2016年报,2016年年度报告,IS,净额,2,"-239,983.20","245,054.40",,,"净额 -239,983.20 245,054.40"
2016年报,2016年年度报告,IS,综合收益总额,2,"347,833,496.26","295,279,077.00",,,"七、综合收益总额 347,833,496.26 295,279,077.00"
2016年报,2016年年度报告,IS,归属于母公司所有者的综合收益总额,2,"348,622,061.84","294,768,166.11",,,"归属于母公司所有者的综合收益总额 348,622,061.84 294,768,166.11"
2016年报,2016年年度报告,IS,归属于少数股东的综合收益总额,2,"-788,565.58","510,910.89",,,"归属于少数股东的综合收益总额 -788,565.58 510,910.89"
2016年报,2016年年度报告,IS,基本每股收益(元/股),2,1.3895,1.2246,,,（一）基本每股收益(元/股) 十八、2 1.3895 1.2246
2016年报,2016年年度报告,CF,销售商品、提供劳务收到的现金,2,"2,686,007,745.46","2,077,590,448.93",,,"销售商品、提供劳务收到的现金 2,686,007,745.46 2,077,590,448.93"
2016年报,2016年年度报告,CF,收到其他与经营活动有关的现金,2,"35,601,101.89","28,522,146.16",,,"收到其他与经营活动有关的现金 七、73（1） 35,601,101.89 28,522,146.16"
2016年报,2016年年度报告,CF,经营活动现金流入小计,2,"2,721,608,847.35","2,106,112,595.09",,,"经营活动现金流入小计 2,721,608,847.35 2,106,112,595.09"
2016年报,2016年年度报告,CF,购买商品、接受劳务支付的现金,2,"1,591,125,256.84","1,297,061,033.65",,,"购买商品、接受劳务支付的现金 1,591,125,256.84 1,297,061,033.65"
2016年报,2016年年度报告,CF,支付给职工以及为职工支付的现金,2,"378,856,947.02","281,251,105.14",,,"支付给职工以及为职工支付的现金 378,856,947.02 281,251,105.14"
